id	text	title
13893783	Agnes Mortimer, Countess of Pembroke <nowiki> </nowiki> Agnes Mortimer, Countess of Pembroke (1317 – 25 July 1368) was the wife of Laurence Hastings, 1st Earl of Pembroke. She was a daughter of Roger Mortimer, 1st Earl of March and Joan de Geneville, Baroness Geneville. Agnes Mortimer was one of the twelve children of Roger Mortimer, 1st Earl of March and Joan de Geneville, Baroness Geneville. Her paternal grandparents were Edmund Mortimer, 2nd Baron Mortimer and Margaret de Fiennes. Her maternal grandparents were Piers de Geneville, of Trim Castle and Ludlow, and Jeanne of Lusignan. Agnes' father had just been created	Agnes Mortimer, Countess of Pembroke
13157422	George I Šubić of Bribir George I Šubić of Bribir () (c. 1277 – 1302) was the Count of Trogir, and a member of the Croatian Šubić noble family. Juraj I Šubić was brother of Paul I Šubić of Bribir, who was the most powerful Croatian noble at the end of the 13th century and beginning of the 14th century. In Dalmatia, Paul appointed his brothers as commissars of Dalmatian cities. He gave Split to his brother Mladen I, and Šibenik, Nin, Trogir and Omiš to his brother Juraj I Šubić. Juraj I Šubić had his seat in Klis Fortress,	George I Šubić of Bribir
11617151	Secretary of State William P. Rogers restored relations following a visit to Sana'a in July 1972, and a new USAID agreement was concluded in 1973. On December 7, 1967, the United States recognized the People's Democratic Republic of Yemen and elevated its Consulate General in Aden to embassy status. However, relations were strained. The PDRY was placed on the list of nations that support terrorism. On October 24, 1969, south Yemen formally broke diplomatic relations with the United States. The United States and the PDRY reestablished diplomatic relations on April 30, 1990, only 3 weeks before the announcement of unification.	United States–Yemen relations
20536462	"Millôr Fernandes and Gilberto Gil. In 2012 she published ""Umas Palavras - 15 entrevistas memoráveis,"" with compilations of interviews selected from the first ten years of her show. A television screenwriter, she is the co-author of the telenovela ""Tempo de Amar"" on TV Globo (Sept. 2017 – March 2018). Bia Corrêa do Lago is married since 1994 to Pedro Corrêa do Lago, a Brazilian author, publisher and art historian. She has two sons from a previous marriage. Bia Corrêa do Lago Maria Beatriz Fonseca Corrêa do Lago, better known as Bia Corrêa do Lago (Rio de Janeiro, April 3, 1958)"	Bia Corrêa do Lago
16663125	"national television programs, including: Dr. Oz, CNN’s Dr. Sanjay Gupta, Anderson Cooper 360, NBC and ABC affiliates and was a featured speaker at the Georgia Children’s Health Alliance ‘Refocus’ Launch. Following his love of football, Tiger partnered with the NFL, including player Marcus Stroud. Together they started a series of fitness camps to inspire thousands of young people to lose weight and get more active. These Sacking Obesity Health & Wellness Camps are run by Team Tiger and the Marcus Stroud Charitable Foundation. Tiger Greene's ""Sacking Obesity: The Team Tiger Game Plan for Kids Who Want to Lose Weight, Feel"	Team Tiger
1858909	"Lancelot and Elaine of Carbonek, is actually the Knight who is worthy of the Holy Grail. Boorman follows the earlier version of the tale as told by Chrétien de Troyes, making Perceval the grail winner. Some new elements were added, such as Uther wielding Excalibur before Arthur (repeated in ""Merlin""), Merlin's 'Charm of Making' (written in Old Irish), and the concept of the world as ""the dragon"" (probably inspired by the dragon omen seen in Geoffrey of Monmouth's account of Merlin's life). According to linguist Michael Everson, the ""Charm of Making"" that Merlin speaks to invoke the dragon is an"	Excalibur (film)
17356561	"Tie It Up ""Tie It Up"" is a song by American recording artist Kelly Clarkson, written by Ashley Arrison, Shane McAnally and Josh Osborne and released as a stand-alone single by RCA Records and Columbia Nashville on June 25, 2013. ""Tie It Up"" was written by Ashley Arrison, Shane McAnally and Josh Osborne. It marked Clarkson's second solo country single and her third as a main act, following the country reissue of ""Mr. Know It All"" (2012), and ""Don't Rush"" (2012). It was released as a digital download on June 25, 2013 worldwide, making it her first country single to"	Tie It Up
11940111	"Information's ""Britain's Efforts and Ideals"" portfolio of images which were exhibited in Britain and abroad and were also sold as prints to raise money for the war effort. In May 1917 he accepted an official war artist commission from the Department of Information. Kennington was commissioned to spend a month on the Western Front but he applied for numerous extensions and eventually spent seven and a half months in France. Kennington was originally based at the Third Army Headquarters and would spend time at the front lines near Villers-Faucon. Later during this tour, his friend William Rothenstein was also appointed"	Eric Kennington
15851682	He elected free agency after the season. On January 22, 2018, Lavarnway signed a minor league contract with the Pittsburgh Pirates, with an invitation to spring training. He hit .288/.375/.485 in 77 games for Triple-A Indianapolis, was called up to Pittsburgh on September 4, and had four hits in six at bats for the Pirates. He elected free agency on November 3. On November 6, 2018, Lavarnway signed a minor league deal with the New York Yankees with an invitation to spring training. Lavarnway played for Israel at the 2017 World Baseball Classic qualifier. Throughout the qualifier, Lavarnway was the	Ryan Lavarnway
11738144	"of the ""Dear Evan Hansen"" song ""Waving Through a Window"" for the deluxe edition of the cast recording, released on November 2, 2018. The show's creators Benj Pasek and Justin Paul had requested Perry to cover the song to promote the musical's national tour and bring awareness to mental health. On November 15, Perry released ""Cozy Little Christmas"" exclusively with Amazon Music. She also recorded the song ""Immortal Flame"" for the game ""Final Fantasy Brave Exvius"", and had a playable character modeled after her. During the early stages of her career, Perry's musical style gravitated towards gospel and she aspired"	Katy Perry
1666641	"Berchtesgadener Land Berchtesgadener Land is a ""Landkreis"" (district) in Bavaria, Germany. It is bounded by the district of Traunstein and by the state of Austria. The southern alpine regions were part of the stem duchy of Bavaria from the early Middle Ages. The 11th and 12th centuries saw the founding of numerous mountain villages. One of these settlements was Berchtesgaden, which later assumed a more dominant role in the administrative district that now bears its name. The northern portion of the Salzach river valley was traditionally part of the Prince-Archbishopric of Salzburg (an imperial principality ruled by the archbishop of"	Berchtesgadener Land
1438431	meters interpreted by a built-in computer, see metering mode. Negative/Print film tends to bias for exposing for the shadow areas (film dislikes being starved of light), with digital favouring exposure for highlights. See latitude below. Latitude is the degree by which one can over, or under expose an image, and still recover an acceptable level of quality from an exposure. Typically negative film has a better ability to record a range of brightness than slide/transparency film or digital. Digital should be considered to be the reverse of print film, with a good latitude in the shadow range, and a narrow	Exposure (photography)
9701686	Agnese Maffeis Agnese Maffeis (born 9 March 1965, in Bergamo) is an Italian discus thrower and shot putter. She won six medals, at senior level, at the International athletics competitions. She has 73 caps in national team from 1981 to 2003, second Italian athlete of all-time behind Marisa Masullo that have 79 caps. She finished twelfth at the 1989 World Indoor Championships and eighth at the 1997 World Championships. She also competed in the 1996 Olympics, but failed to qualify from her pool. At the Mediterranean Games she won gold medals in shot put in 1987 and 1993 and in	Agnese Maffeis
15326440	"Land"". In addition, it was nominated for Vocal Event of the Year at the Country Music Association awards, Best Country Collaboration with Vocals at the 51st Grammy Awards, and Vocal Event of the Year at the 44th Annual Academy of Country Music awards. Life in a Northern Town ""Life in a Northern Town"" is a song by British group The Dream Academy. The song is the lead single from their self-titled debut studio album ""The Dream Academy,"" released in 1985. The song was written as an elegy to British folk musician Nick Drake, who died in 1974, and the single's"	Life in a Northern Town
10790908	home, making it the most expensive house in the state. Stonington mansion Stonington (formerly Stonnington) is a private residence and former Australian Government House located in the Melbourne suburb of Malvern, at 336 Glenferrie Road. The house was built for John Wagner, a partner in Cobb and Co coaches. Stonington gave its name to the City of Stonnington, a Melbourne municipality. John Wagner, a partner in Cobb and Co coaches, built the house in 1890. The house was designed in the Italianate Victorian style by architect Charles D'Ebro. The house was named for the birthplace of Wagner's wife, Mary, in	Stonington mansion
2793221	"codice_1 program could be used for the more general task of picking up a random line from a plain-text file. The example of such use is given in the rc documentation. However, in most modern Unix systems codice_1 cannot be used this way, since they use an ad hoc file format for fortune files to allow multiline aphorisms. Conventional versions of codice_1 use two files for each quotation list: a text file with quotations, each separated by the character ""%"" on its own line, and a random-access data file generated by the codice_12(8) program. Alternative implementations, including those made for"	Fortune (Unix)
13102564	which made him an embarrassment to Jay's family. Two of Jay's homes, both located in Westchester County, have been designated National Historic Landmarks. From the age of three months old until he attended Kings College in 1760, Jay was raised in Rye, on a farm acquired by his father Peter in 1745 that overlooked Long Island Sound. After negotiating the Treaty of Paris that ended the Revolutionary War, Jay returned to his childhood home to celebrate with his family and friends in July, 1784. Jay inherited this property upon the death of his older brother Peter in 1813 after Jay	John Jay
15609694	Singerkach Bazar. The Makunda River flows at the South-East side of Mahammedpur. About 1500 peoples live in Mahammedpur. 90% of the people depend on agriculture, 2% are Government employees and businessman. The rest people are abroad in the United Kingdom and in the Middle East. Mahammedpur Govt. Primary School is a famous School for its performance. It started its full activity on 1973. A Private School for infant namely Green Bird Kindergarten School established on 2010. The children of this village achieve their Arabic and Religious education in Mahammedpur Jame- Masque. Mahammedpur is located about 20.50 km to the South	Mahammedpur
2217760	"unconventional for her time, especially from a female writer. In traditional Japanese values, women are perceived as (and are expected to be) gentle and modest. The domestic and societal roles of Japanese women were and are focused on procreation and raising children, especially boys. ""Midaregami"" not only expresses concepts and/or issues that pertain to women and are not normally voiced in such a public manner, but also created a new, revolutionary image of womanhood, as lively, free, sexual and assertive people, nothing at all like the conventional picture of the modest, demure young lady expected in Japan. Yosano's women were"	Yosano Akiko
1210800	and the average family size was 2.95. In the township the population was spread out, with 24.4% under the age of 18, 6.9% from 18 to 24, 28.4% from 25 to 44, 29.4% from 45 to 64, and 11.0% who were 65 years of age or older. The median age was 40 years. For every 100 females there were 101.4 males. For every 100 females age 18 and over, there were 98.9 males. The median income for a household in the township was $37,500, and the median income for a family was $44,219. Males had a median income of $29,500	Wolf Creek Township, Mercer County, Pennsylvania
5470712	the most expensive beach hut in the UK. Shaldon is part of Teignbridge local government district, which was created in 1974 under the Local Government Act 1972. The village had previously been in St Nicholas Parish. The parish contained Shaldon and part of the adjacent village of Ringmore, and became part of Teignmouth Urban District in 1881. The Shaldon regatta is one of the oldest in England dating back to at least 1817, if not before. The modern regatta runs for 9 days each August. On a hillside above the village are gardens created by Maria 'Laetitia' Kempe Homeyard in	Shaldon
18576730	named as his assistant manager. In the 2012–13 season Newport attained a 3rd-place finish, reaching the Conference National playoffs. Newport County won the 2013 Conference Premier play-off Final versus Wrexham at Wembley Stadium 2–0 to return to the Football League after a 25-year absence with promotion to Football League Two. On their return to the Football League in the 2013–14 season Newport County finished a creditable 14th in League Two. On 7 February 2015, with Newport County in 6th place in League Two, it was confirmed that Edinburgh had been appointed manager at League One Gillingham with Dack stepping up	Jimmy Dack
17078219	"Investigators of Arkham Horror"" (a fiction collection based on their Arkham Horror franchise), and ""Legacy of Dragonholt"", a narrative adventure game set in the Runebound universe. Annie VanderMeer Annie VanderMeer Mitsoda (also credited as Annie VanderMeer, Annie Carlson, Annie VanderMeer Carlson, and Anne VanderMeer) is an American video game designer specializing in role-playing video games, best known for her writing work on the 2008's """" and her design work on the 2012's ""Guild Wars 2"", and DoubleBear Productions' ""Dead State"" and ""PANIC at Multiverse High!"" She is the wife of game designer Brian Mitsoda. Annie VanderMeer attended Macalester College and"	Annie VanderMeer
3891788	and interacted with the trough, eventually leading to the formation of a tropical depression at 00:00 UTC on May 22. The newly formed cyclone moved northwest parallel to the coastline of Mexico while steadily organizing in a low wind shear regime, intensifying into Tropical Storm Agatha by 12:00 UTC that day and attaining peak winds of 60 mph (95 km/h) twelve hours later. Increasingly cool ocean temperatures and a drier air mass caused Agatha to weaken quickly thereafter, and it degenerated into a remnant low by 12:00 UTC on May 24. The post-tropical cyclone drifted aimlessly before dissipating well south	2004 Pacific hurricane season
9738609	in the same division one year earlier, at the All-Africa Games in Abuja, Nigeria. Abdelhani Kenzi Abdel Hani Kenzi (born 27 September 1973) is a boxer from Algeria. Kenzi participated in the 2004 Summer Olympics for his native North African country. There, he was stopped in the second round of the Light heavyweight (81 kg) division by Uzbekistan's eventual bronze medalist, Utkirbek Haydarov. He had formerly competed in the 2000 Summer Olympics. Kenzi qualified for the Athens Games by winning the gold medal at the 1st AIBA African 2004 Olympic Qualifying Tournament in Casablanca, Morocco. In the final of the	Abdelhani Kenzi
2632352	executed attacks on Bosnian-Serb forces. In 1995, 16th AF supported Operation Joint Endeavor, the NATO peacekeeping mission to the former Yugoslavia, through operations in Croatia, Hungary and Bosnia-Herzegovina. The years 1996 through 1998 saw continued high operations in 16th AF. It was the first Air Force organization to fully employ the Expeditionary Wing concept. The 16th Air and Space Expeditionary Task Force, consisting of the 16th and 31st Air Expeditionary Wings, activated in support of Operation Joint Guardian, and its air component, Operation Deliberate Guard, engaging air power for peace enforcement operations in Bosnia-Herzegovina. The 39th Air & Space Expeditionary	16th Air Expeditionary Task Force
2559919	"more heat must be removed before the water changes to solid state (ice), so water can be liquid or solid at . With the above definition there are simple ways in which the effect might be observed: For example, if the hotter temperature melts the frost on a cooling surface and thus increases the thermal conductivity between the cooling surface and the water container. On the other hand, there may be many circumstances in which the effect is not observed. Various effects of heat on the freezing of water were described by ancient scientists such as Aristotle: ""The fact that"	Mpemba effect
12116036	"WACM changed their format from Spanish tropical (as ""Bomba 1270"") to oldies, branded as ""Kool Radio AM"" (simulcasting WSKP 1180 AM Hope Valley, Rhode Island). WACM’s programming is also simulcasted on W261DD, a translator station broadcasting on 100.1 FM. WACM (AM) WACM (1270 AM, ""Kool Radio"") is a radio station licensed to serve Springfield, Massachusetts, United States. The station is owned by John Fuller, through licensee Red Wolf Broadcasting Corporation. It airs an oldies music format, simulcasting WSKP 1180 AM Hope Valley, RI. Throughout the 1960s and 1970s, the station had a Top 40 format. Later decades, the station had"	WACM (AM)
11777211	miss the United States Grand Prix at Laguna Seca. In 2014 he continued to race with Pramac Racing, with teammate Yonny Hernández. For the 2015 season, Iannone replaced Cal Crutchlow at Ducati Corse, and partners Andrea Dovizioso in the team. Iannone achieved his first MotoGP podium on his Ducati début, finishing third in Qatar. At Austin, he finished in fifth place behind Jorge Lorenzo, and also recorded the first fastest lap of his MotoGP career. Iannone was on course for a second podium in Argentina, but was passed for third on the final lap, by Crutchlow. At Phillip Island Iannone	Andrea Iannone
15377707	"were also conducted by Lucy Riall, a professor of history at Birkbeck College of University of London. Revisionism of Risorgimento Historian John A. Davis, said in 2005, ""Everyone, it seems, is busy rethinking, revisioning, revisiting, remaking, remapping or demythologizing the Risorgimento. However, it is not the Risorgimento that is being revisited but the changing images that have made it the potent founding myth of the Italian nation for successive generations of Italians."" In the 20th century, and especially since the end of World War II, the received interpretation of Italian unification, the ""Risorgimento"", has become the object of historical revisionism."	Revisionism of Risorgimento
11108280	active assault on the Church of England; Scarsdale resigned as Lord Lieutenant of Derbyshire in 1687 in protest. The tiny handful of non-Catholics like Hastings who stuck with James were viewed as participants in the persecution of their own Church; he was further damaged by his actions during the Convention Parliament in first voting against a Regency, then with the Jacobite loyalists and finally the Williamites. Other factors were the speed with which he switched from loyalist to Exclusionist to loyalist combined with the tendency to adopt extreme positions in each role. The historian Peter Walker argues that his overwhelming	Theophilus Hastings, 7th Earl of Huntingdon
3874510	the reasons I asked him to do so much in the movie, is that his songs have always had a feel to them, a kind of mood that fitted in with what we were doing. You'd die to make a video for some of his songs, he uses so many great images, and the rhythms he uses are amazing as well. In 1989 Olsen and Hutchence collaborated on a musical project, Max Q, producing a self-titled album combining electronic music with political paranoia. The Max Q band included Murphy, Michael Sheridan, and keyboardist Gus Till. After recording Olsen and Hutchence	Ollie Olsen
7398416	"actors, with the exceptions of John Stocker and Harvey Atkin, who reprised their roles as Toad and King Koopa, respectively. The show features new characters such as the Koopalings replacing the Koopa Pack. DiC Animation City produced this series in collaboration with the Italian studio Reteitalia S.P.A., while Nintendo provided the characters and power-ups. On July 1, 2015, the show was re-released to Steam by Cinedigm. ""The Adventures of Super Mario Bros. 3"" focuses on Mario, Luigi, Toad, and Princess Toadstool, who reside in the Mushroom World. Most of the episodes revolve around the four characters' efforts to prevent the"	The Adventures of Super Mario Bros. 3
10145602	Kairat Almaty. In October 2014, Smakov, along with Dmitri Khomich, Mikhail Bakayev, Zaurbek Pliyev and Aleksandr Kislitsyn, was banned from training with FC Kairat by the club. On 6 January 2015, Smakov, along with Aleksandr Kislitsyn, moved to FC Irtysh Pavlodar. On 4 August 2016, Smakov signed for FC Ordabasy until the end of the 2016 season. On 7 January 2018, Ordabasy announced that Smakov had joined FC Aktobe as their new General Director. Samat received his first cap for Kazakhstan on 31 March 2000 in an Asian Cup qualifier against Jordan at the age of 18. Since that time	Samat Smakov
7524088	fumble recoveries for touchdowns as a sophomore. He was a first-team All-America choice and Region VI Defensive Most Valuable Player at middle linebacker. He added first-team All-Jayhawk Conference accolades. During his first year at Alabama, Pope saw action in 13 games with three starts at middle linebacker as a junior. He ranked fifth on the team with 65 tackles (37 solo), including a sack, six stops for loss and three quarterback pressures. He also intercepted a pass, caused two fumbles and recovered another. Pope played in 12 games with ten starts at strongside linebacker as a senior when he served	Derrick Pope
14771386	"volunteering at GMHC, she served as the care partner for ten people with AIDS, and would drop everything to attend to them in cases of need, saying her ""number one concern is always my friends who have AIDS"", whom she would often visit in the hospital. She was an active fundraiser for GMHC, as well as with the People With AIDS Coalition, care programs at Saint Vincent's Catholic Medical Center and the development of an AIDS research laboratory at New York Hospital-Cornell Medical Center. Peabody died at age 80 on July 25, 2010, at her apartment on Fifth Avenue, due"	Judith Peabody
1555795	practice attested at the first half of the 2nd millennium BC and it was vigorously pursued by the Asian kings, Esarhaddon and his son, Ashurbanipal in the 20th century BC. Omens were interpreted by several methods—e.g., liver divination, lecanomancy, and libanomancy. Hepatoscopy—observing irregularities and abnormalities of the entrails of a sacrificial sheep—was used in many royal services. Astrological omens were popular in Assyria in the 7th century BC. Diviners gained influence by interpreting omens and advising the king, Esarhaddon (681-669 BC), how to avoid some terrible fate. Sometimes the Assyrian king hid for a while after he put a substitute	Omen
20906703	"identity and the surgeries their parents had approved for them by themselves after their Navy service. Zzyym is the first veteran to be issued a gender-neutral passport. In 2010, Republican representative Duncan D. Hunter implied that intersex people were always banned from service. This claim was contradicted by a veteran who stated that they were allowed to serve openly and be deployed to Desert Storm as an intersex woman. Activist Autumn Sandeen also refuted Hunter's claims in a statement on her blog. In contrast, another response to Hunter was from Choire Sicha of The Awl who stated that ""intersex people"	Intersex people and military service in the United States
16061910	"Familiepark, which also features other themes from Ivo Caprino's animation universe. A ""Super Videographer"" cinema was also included in the polar centre Polaria in Tromsø, Hardangervidda Natursenter in Eidfjord the Norwegian Glacier Museum in Fjærland and other locations. The cinema at Nordkapp was replaced with a new high-definition panorama cinema in 2009. Ivo Caprinos Supervideograf Ivo Caprinos Supervideograf (lit. ""Ivo Caprino's Super Videographer"") is a type of cinema technology used several places in Norway. It was developed by animator and filmmaker Ivo Caprino. It was introduced as part of a entertainment centre in Nordkapp in 1988. The screen spanned 225"	Ivo Caprinos Supervideograf
18667804	land, and the presence of Christians in the disputed territory prior to, and after, his settlement of the region meant it could not be his. On November 7, 1685, James issued a decision which called for a compromise. He ordered that the land between the Chesapeake and Delaware Bays be divided in half, with a line west from Cape Henlopen intersecting with a line drawn south from the 40th parallel. James kept the northern border of Maryland at the 40th parallel. Calvert still did not have the border surveyed, however. In December, 1688, King James gave Penn a new and	Penn–Calvert boundary dispute
4551355	converted railway station in Baltimore, County Cork. The Baltimore and Collanmore bases were re-integrated as part of the Les Glénans school but subsequently closed in 2013. The club operated largely using volunteer instructors, backed by a small professional staff on the bases and in the Baltimore office. A successor organisation, Baltimore Maritime Centre was formed in 2014 with a view to continuing sail training in Baltimore. Glenans Ireland Glenans Irish Sailing Club (GISC) was a non-profit sailing school affiliated to, but independent of the larger French Les Glénans sailing school. The Irish club was founded in 1969 as part of	Glenans Ireland
39807	"The existence of early traditions of Jesus' birth in Bethlehem is attested by the Christian apologist Justin Martyr, who stated in his ""Dialogue with Trypho"" (c. 155–161) that the Holy Family had taken refuge in a cave outside of the town. Origen of Alexandria, writing around the year 247, referred to a cave in the town of Bethlehem which local people believed was the birthplace of Jesus. This cave was possibly one which had previously been a site of the cult of Tammuz. Christmas rites are held in Bethlehem on three different dates: December 25 is the traditional date by"	Bethlehem
5783361	average in 2013 of 1498. The faculty at Wichita Collegiate School have received many honors. Some recent examples include the selection by The College Board of Science Department Chair Janice Crowley as National AP Teacher of the Year in 2008, and Kansas State Board of Education's official recognition of Wichita Collegiate teacher Jenifer Sinsel, the 2006 National Finalist in science at its July 2007 meeting. Sinsel has since left Collegiate. Sinsel is also the 2007 recipient of the National Science Teachers Association Sylvia Shugrue Award. Sinsel was one of only 20 teachers from throughout the United States to be selected	Wichita Collegiate School
6017137	"the next five years. He can be heard on ""Decoy"" (1984) and ""You're Under Arrest"" (1985), and several live concert albums. In 1985, he became a member of Sting's first solo band with Branford Marsalis, Kenny Kirkland, and Omar Hakim. With Sting he recorded the album ""Dream of the Blue Turtles"", the live album ""Bring on the Night"", and appeared in the documentary of the same name about the band's formation and tour. Jones toured and recorded sessions with Herbie Hancock & the Headhunters, Madonna, Eric Clapton, and more. During this time Jones also made his mark on the New"	Darryl Jones
18197549	to the ab subtypes of RR Lyrae variables; however, they are far brighter than these stars. Anomalous Cepheids are metal poor and have masses not much larger than the Sun's, on average, 1.5 solar masses. The origin of these stars is uncertain, but thought to possibly be from the merger of two stars. Detailed examination of the spectrum of BL Boötis with the Keck-1 telescope at the W. M. Keck Observatory showed that its effective (surface) temperature is around 6450 K at minimum light. It also showed that the chemical composition was consistent with ageing metal-poor (Population II) stars and	BL Boötis
17241193	Henrik Fleming Henrik Klasson Fleming (15 August 1584 - November 7, 1650) was a member of the Swedish nobility and admiral, diplomat and lord marshal. He was the author of one of the first autobiographies in Swedish, a colourful depiction of his early life which he wrote for his children in a moralising purpose. Fleming was born at Åkerholm in Ingå, Finland. He was raised at Yläne and Pöytyä in southwest Finland. He was a student in Rostock University (1602). He was part of the king's command in active military service, having participated as a captain under King Gustavus Adolphus	Henrik Fleming
10665698	"Sustainable sanitation Sustainable sanitation is a sanitation system designed to meet certain criteria and to work well over the long-term. The Sustainable Sanitation Alliance (SuSanA) includes five features (or criteria) in its definition of ""sustainable sanitation."" Systems need to be economically and socially acceptable, technically and institutionally appropriate and protect the environment and natural resources. The purpose of sustainable sanitation is the same as sanitation in general: to protect human health. However, ""sustainable sanitation"" attends to all processes of the system. This includes methods of collecting, transporting, treating and the disposal (or reuse) of waste. The Joint Monitoring Programme for"	Sustainable sanitation
9969514	"The Executioner (1963 film) The Executioner () is a 1963 Spanish black comedy film directed by Luis García Berlanga. It is widely considered one of the masterpieces of Spanish cinema. The story starts with the main character (an old executioner in Spain in the early 60's) approaching retirement age. As his profession is quite rare, he (a very gentle and nice man, caring, and proud of traditions) begins to worry about who might take his place when he retires. He has a daughter, but, unfortunately, she seems doomed to perpetual ""spinsterhood""; as soon as any prospective groom learns about her"	The Executioner (1963 film)
6142768	through 12th grades In August 2007, Walls was relocated to Capitol Hill in the Logan School building on G Street NE between Second and Third Streets NE (near Union Station and adjacent to the Securities & Exchange Commission headquarters). This temporary home was used for two years while the original building was renovated. The Logan School was renovated—including a new roof and internal work—during the summer of 2007 to accept students. In August 2009, The School Without Walls moved back into the Grant School following an opening ceremony by Mayor Adrian Fenty, DCPS chancellor Michelle Rhee and George Washington University	School Without Walls (Washington, D.C.)
